,zip_code,CBSA Title,MSA_central_outlying,Total_All_loans,Total_Female Owned_loans,Total_Male Owned_loans,Total_Unanswered_loans,White_All_loans,White_Female Owned_loans,White_Male Owned_loans,White_Unanswered_loans,Black_All_loans,Black_Female Owned_loans,Black_Male Owned_loans,Black_Unanswered_loans,Hispanic_All_loans,Hispanic_Female Owned_loans,Hispanic_Male Owned_loans,Hispanic_Unanswered_loans,Asian_All_loans,Asian_Female Owned_loans,Asian_Male Owned_loans,Asian_Unanswered_loans,Total_All_loan_amnt,Total_Female Owned_loan_amnt,Total_Male Owned_loan_amnt,Total_Unanswered_loan_amnt,White_All_loan_amnt,White_Female Owned_loan_amnt,White_Male Owned_loan_amnt,White_Unanswered_loan_amnt,Black_All_loan_amnt,Black_Female Owned_loan_amnt,Black_Male Owned_loan_amnt,Black_Unanswered_loan_amnt,Hispanic_All_loan_amnt,Hispanic_Female Owned_loan_amnt,Hispanic_Male Owned_loan_amnt,Hispanic_Unanswered_loan_amnt,Asian_All_loan_amnt,Asian_Female Owned_loan_amnt,Asian_Male Owned_loan_amnt,Asian_Unanswered_loan_amnt
0,37010,"Clarksville, TN-KY",Central,248.0,16.0,78.0,154.0,48.0,4.0,44.0,,2.0,,,2.0,8.0,4.0,4.0,,,,,,8647099.0,127588.0,4788120.0,3731392.0,4206512.0,68680.0,4137833.0,,41666.0,,,41666.0,90588.0,28908.0,61680.0,,,,,
1,37012,,Outlying,184.0,10.0,38.0,136.0,26.0,4.0,22.0,,,,,,,,,,,,,,6741978.0,87318.0,1826520.0,4828140.0,121234.0,23852.0,97382.0,,,,,,,,,,,,,
2,37013,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,6636.0,1128.0,1394.0,4114.0,230.0,78.0,148.0,4.0,1298.0,666.0,606.0,26.0,148.0,38.0,98.0,12.0,84.0,20.0,54.0,10.0,151016526.0,21775742.0,41227561.0,88013222.0,10305560.0,1224280.0,9047532.0,33750.0,21486907.0,10848749.0,9806497.0,831662.0,4553818.0,519738.0,3341954.0,692126.0,5372572.0,2380356.0,1242648.0,1749568.0
3,37014,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,166.0,26.0,42.0,98.0,38.0,22.0,16.0,,,,,,6.0,2.0,4.0,,,,,,9481836.0,1582596.0,2169430.0,5729810.0,2865866.0,1535996.0,1329870.0,,,,,,55000.0,5000.0,50000.0,,,,,
4,37015,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,704.0,88.0,150.0,466.0,132.0,56.0,72.0,4.0,12.0,,12.0,,4.0,,4.0,,,,,,40969189.0,2397262.0,4783707.0,33788220.0,5451574.0,1813970.0,3522440.0,115164.0,181636.0,,181636.0,,19196.0,,19196.0,,,,,
5,37016,"Nashville-Davidson--Murfreesboro--Franklin, TN",Outlying,42.0,,,42.0,,,,,,,,,,,,,,,,,482718.0,,,482718.0,,,,,,,,,,,,,,,,
6,37018,"Tullahoma-Manchester, TN",Central,100.0,20.0,24.0,56.0,34.0,16.0,18.0,,,,,,,,,,,,,,1314951.0,176156.0,345630.0,793166.0,278336.0,94850.0,183486.0,,,,,,,,,,,,,
7,37019,"Lewisburg, TN",Central,38.0,,2.0,36.0,,,,,,,,,2.0,,2.0,,,,,,1028060.0,,41664.0,986396.0,,,,,,,,,41664.0,,41664.0,,,,,
8,37020,"Shelbyville, TN",Central,266.0,36.0,94.0,136.0,62.0,14.0,48.0,,2.0,,2.0,,,,,,,,,,8384682.0,1030554.0,2385322.0,4968806.0,861434.0,128568.0,732866.0,,41664.0,,41664.0,,,,,,,,,
9,37022,"Nashville-Davidson--Murfreesboro--Franklin, TN",Central,232.0,32.0,94.0,106.0,74.0,12.0,62.0,,2.0,,2.0,,,,,,,,,,3745288.0,377902.0,1527183.0,1840202.0,918624.0,163540.0,755084.0,,41664.0,,41664.0,,,,,,,,,
