,Dwelling Type,Lot Frontage,Lot Area,Land Contour,Neighborhood,Location Condition,Overall Quality,Overall Cond,Year Built,Masonry/Veneer Area,Basement Finished Area,Basement Unfinished Area,1st Floor Area,2nd Floor Area,Total Area,Bedrooms Above Grade,Kitchen Qual,Total Rooms Above Grade,Fireplaces,Garage Finish,Garage Cars,Sale Condition,Sale Price,Sale Price Cat,Porch Area,Full Bathrooms,Half Bathrooms,Bathrooms,Pool,Extra Kitchens,Baths per Bedroom,dt_1-1/2 STORY ALL AGES,dt_1-STORY 1945 & OLDER,dt_1-STORY PUD,dt_2 FAMILY CONVERSION,dt_2-1/2 STORY ALL AGES,dt_2-STORY 1945 & OLDER,dt_2-STORY 1946 & NEWER,dt_2-STORY PUD,dt_DUPLEX,dt_SPLIT FOYER,dt_SPLIT OR MULTI-LEVEL,lc_Banked,lc_Depression,lc_Hillside,nh_Bloomington Heights,nh_Bluestem,nh_Briardale,nh_Brookside,nh_Clear Creek,nh_College Creek,nh_Crawford,nh_Edwards,nh_Gilbert,nh_Iowa DOT and Rail Road,nh_Meadow Village,nh_Mitchell,nh_Northpark Villa,nh_Northridge,nh_Northridge Heights,nh_Northwest Ames,nh_Old Town,nh_Sawyer,nh_Sawyer West,nh_Somerset,nh_South & West of Iowa State,nh_Stone Brook,nh_Timberland,nh_Veenker,locc_Adjacent Arterial St,locc_Adjacent Feeder St,locc_Adjacent Pos Feature,locc_Adjacent Railroad,locc_Near Pos Feature,locc_Near Railroad,sc_Abnormal Sale,sc_Allocation,sc_Home not complete,sc_Sale within Family,gf_Finished,gf_Rough Finished,gf_Unfinished,Kitchen Quality Num,School_Name,School_Index,Comprehensive_Decision,Targeted_Decision,Growth,Percent Proficient,Percent_Male,Percent_Female,Percent_EL,Percent_FRL,Percent_IEP,Percent_Asian,Percent_Black,Percent_PacIs,Percent_Hispanic,Percent_Multi,Percent_NatAm,Percent_White,Percent_Foster_Care,Percent_Military_Connected,Percent_Migrant,Percent_Homeless,sch_Edwards,sch_Fellows,sch_Gilbert,sch_Meeker,sch_Mitchell,sch_Sawyer
0,2-STORY 1946 & NEWER,65,8450,Level,College Creek,Normal,7,5,2003,196,706,150,856,854,1710,3,Good,8,0,Rough Finished,2,Normal Sale,208500,165K up to 215K,61,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
1,2-STORY 1946 & NEWER,68,11250,Level,College Creek,Normal,7,5,2001,162,486,434,920,866,1786,3,Good,6,1,Rough Finished,2,Normal Sale,223500,215K or more,42,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
2,1-STORY 1946 & NEWER,91,10652,Level,College Creek,Normal,7,5,2006,306,0,1494,1494,0,1494,3,Good,7,1,Rough Finished,3,Home was not completed when last assessed (associated with New Homes),279500,215K or more,193,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
3,1-STORY 1946 & NEWER,75,9742,Level,College Creek,Normal,8,5,2002,281,0,1777,1795,0,1795,3,Good,7,1,Rough Finished,2,Normal Sale,230000,215K or more,330,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
4,1-STORY 1946 & NEWER,85,11049,Level,College Creek,Normal,8,5,2007,0,0,1234,1234,0,1234,3,Good,7,0,Rough Finished,2,Normal Sale,179900,165K up to 215K,30,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
5,1-STORY 1946 & NEWER,112,10859,Level,College Creek,Normal,5,5,1994,0,0,1097,1097,0,1097,3,Average,6,0,Unfinished,2,Normal Sale,145000,132K up to 165K,456,1,1,1.5,0,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
6,1-STORY 1946 & NEWER,0,9200,Level,College Creek,Normal,5,6,1975,0,280,167,938,0,938,3,Average,5,0,Unfinished,1,Normal Sale,130250,Less than 132K,145,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
7,2-STORY 1946 & NEWER,89,11645,Level,College Creek,Normal,7,5,2004,0,0,860,860,860,1720,3,Good,7,0,Rough Finished,2,Normal Sale,196500,165K up to 215K,70,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
8,1-STORY 1946 & NEWER,60,7200,Banked,College Creek,Normal,5,7,1972,0,632,148,780,0,780,2,Average,4,0,Unfinished,1,Normal Sale,124900,Less than 132K,196,1,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
9,2-STORY 1946 & NEWER,0,9375,Level,College Creek,Normal,7,5,1997,573,739,318,1057,977,2034,3,Good,8,0,Rough Finished,2,Normal Sale,219500,215K or more,612,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
10,1-STORY 1946 & NEWER,72,10665,Level,College Creek,Normal,7,5,2003,167,1013,440,1479,0,1479,3,Good,7,0,Rough Finished,2,Normal Sale,226000,215K or more,173,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
11,1-STORY 1946 & NEWER,60,8070,Level,College Creek,Normal,4,5,1994,0,588,402,990,0,990,3,Average,5,0,No Garage,0,Normal Sale,123600,Less than 132K,0,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
12,2-STORY 1946 & NEWER,69,9337,Level,College Creek,Normal,6,5,1997,0,648,176,905,881,1786,3,Good,7,0,Rough Finished,2,Normal Sale,204750,165K up to 215K,162,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
13,1-STORY 1946 & NEWER,78,10264,Level,College Creek,Normal,7,5,1999,183,1162,426,1588,0,1588,3,Good,6,0,Rough Finished,2,Normal Sale,214000,165K up to 215K,187,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
14,1-STORY 1946 & NEWER,94,10402,Level,College Creek,Normal,7,5,2009,0,0,1226,1226,0,1226,3,Good,6,0,Rough Finished,3,Normal Sale,198900,165K up to 215K,36,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
15,2-STORY 1946 & NEWER,77,9965,Level,College Creek,Normal,7,5,2007,220,984,280,1282,1414,2696,4,Excellent,10,1,Finished,3,Home was not completed when last assessed (associated with New Homes),383970,215K or more,472,3,1,3.5,0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,4,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
16,2-STORY 1946 & NEWER,65,8461,Level,College Creek,Normal,6,5,2005,0,0,728,728,728,1456,3,Good,8,1,Finished,2,Home was not completed when last assessed (associated with New Homes),163990,132K up to 165K,24,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
17,2-STORY 1946 & NEWER,73,9066,Level,College Creek,Normal,8,5,1999,320,668,336,1004,848,1852,3,Good,7,2,Finished,3,Normal Sale,230000,215K or more,330,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,Edwards,45.23,0,1,31,64.13,46.9,53.1,8.4,37.7,14.9,8.1,12.3,0.3,8.6,7.1,0,63.6,0.5,0,0,3.7,1,0,0,0,0,0
