Id,Dwelling Type,Lot Frontage,Lot Area,Land Contour,Neighborhood,Location Condition,Overall Quality,Overall Cond,Year Built,Masonry/Veneer Area,Basement Finished Area,Basement Unfinished Area,1st Floor Area,2nd Floor Area,Total Area,Bedrooms Above Grade,Kitchen Qual,Total Rooms Above Grade,Fireplaces,Garage Finish,Garage Cars,Sale Condition,Sale Price,Porch Area,Full Bathrooms,Half Bathrooms,Bathrooms,Pool,Extra Kitchens,Baths per Bedroom,dt_1-1/2 STORY ALL AGES,dt_1-STORY 1945 & OLDER,dt_1-STORY PUD,dt_2 FAMILY CONVERSION,dt_2-1/2 STORY ALL AGES,dt_2-STORY 1945 & OLDER,dt_2-STORY 1946 & NEWER,dt_2-STORY PUD,dt_DUPLEX,dt_SPLIT FOYER,dt_SPLIT OR MULTI-LEVEL,lc_Banked,lc_Depression,lc_Hillside,nh_Bloomington Heights,nh_Bluestem,nh_Briardale,nh_Brookside,nh_Clear Creek,nh_College Creek,nh_Crawford,nh_Edwards,nh_Gilbert,nh_Iowa DOT and Rail Road,nh_Meadow Village,nh_Mitchell,nh_Northpark Villa,nh_Northridge,nh_Northridge Heights,nh_Northwest Ames,nh_Old Town,nh_Sawyer,nh_Sawyer West,nh_Somerset,nh_South & West of Iowa State,nh_Stone Brook,nh_Timberland,nh_Veenker,locc_Adjacent Arterial St,locc_Adjacent Feeder St,locc_Adjacent Pos Feature,locc_Adjacent Railroad,locc_Near Pos Feature,locc_Near Railroad,sc_Abnormal Sale,sc_Allocation,sc_Home not complete,sc_Sale within Family,gf_Finished,gf_Rough Finished,gf_Unfinished,Kitchen Quality Num
1,2-STORY 1946 & NEWER,65,8450,Level,College Creek,Normal,7,5,2003,196,706,150,856,854,1710,3,Good,8,0,Rough Finished,2,Normal Sale,208500,61,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
2,1-STORY 1946 & NEWER,80,9600,Level,Veenker,Adjacent Feeder St,6,8,1976,0,978,284,1262,0,1262,3,Average,6,1,Rough Finished,2,Normal Sale,181500,298,2,1,2.5,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2
3,2-STORY 1946 & NEWER,68,11250,Level,College Creek,Normal,7,5,2001,162,486,434,920,866,1786,3,Good,6,1,Rough Finished,2,Normal Sale,223500,42,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
4,2-STORY 1945 & OLDER,60,9550,Level,Crawford,Normal,7,5,1915,0,216,540,961,756,1717,3,Good,7,1,Unfinished,3,"Abnormal Sale -  trade, foreclosure, short sale",140000,307,2,0,2,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
5,2-STORY 1946 & NEWER,84,14260,Level,Northridge,Normal,8,5,2000,350,655,490,1145,1053,2198,4,Good,9,1,Rough Finished,3,Normal Sale,250000,276,3,1,3.5,0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
6,1-1/2 STORY ALL AGES,85,14115,Level,Mitchell,Normal,5,5,1993,0,732,64,796,566,1362,1,Average,5,0,Unfinished,2,Normal Sale,143000,390,2,1,2.5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
7,1-STORY 1946 & NEWER,75,10084,Level,Somerset,Normal,8,5,2004,186,1369,317,1694,0,1694,3,Good,7,1,Rough Finished,2,Normal Sale,307000,312,3,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3
8,2-STORY 1946 & NEWER,0,10382,Level,Northwest Ames,Near Pos Feature,7,6,1973,240,859,216,1107,983,2090,3,Average,7,2,Rough Finished,2,Normal Sale,200000,667,3,1,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2
9,1-1/2 STORY ALL AGES,51,6120,Level,Old Town,Adjacent Arterial St,7,5,1931,0,0,952,1022,752,1774,2,Average,8,2,Unfinished,2,"Abnormal Sale -  trade, foreclosure, short sale",129900,295,2,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2
10,2 FAMILY CONVERSION,50,7420,Level,Brookside,Adjacent Arterial St,5,6,1939,0,851,140,1077,0,1077,2,Average,5,2,Rough Finished,1,Normal Sale,118000,4,2,0,2,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2
11,1-STORY 1946 & NEWER,70,11200,Level,Sawyer,Normal,5,5,1965,0,906,134,1040,0,1040,3,Average,5,0,Unfinished,1,Normal Sale,129500,0,2,0,2,0,0,0.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
