Id,Dwelling Type,Lot Frontage,Lot Area,Land Contour,Neighborhood,Location Condition,Overall Quality,Overall Cond,Year Built,Masonry/Veneer Area,Basement Finished Area,Basement Unfinished Area,1st Floor Area,2nd Floor Area,Bedrooms Above Grade,Kitchen Qual,Total Rooms Above Grade,Fireplaces,Garage Finish,Garage Cars,Sale Condition,Sale Price,Porch Area,Full Bathrooms,Half Bathrooms,Pool,Extra Kitchens,Baths per Bedroom,dt_1-1/2 STORY ALL AGES,dt_1-STORY 1945 & OLDER,dt_1-STORY PUD,dt_2 FAMILY CONVERSION,dt_2-1/2 STORY ALL AGES,dt_2-STORY 1945 & OLDER,dt_2-STORY 1946 & NEWER,dt_2-STORY PUD,dt_DUPLEX,dt_SPLIT FOYER,dt_SPLIT OR MULTI-LEVEL,lc_Banked,lc_Depression,lc_Hillside,nh_Bloomington Heights,nh_Bluestem,nh_Briardale,nh_Brookside,nh_Clear Creek,nh_College Creek,nh_Crawford,nh_Edwards,nh_Gilbert,nh_Iowa DOT and Rail Road,nh_Meadow Village,nh_Mitchell,nh_Northpark Villa,nh_Northridge,nh_Northridge Heights,nh_Northwest Ames,nh_Old Town,nh_Sawyer,nh_Sawyer West,nh_Somerset,nh_South & West of Iowa State,nh_Stone Brook,nh_Timberland,nh_Veenker,locc_Adjacent Arterial St,locc_Adjacent Feeder St,locc_Adjacent Pos Feature,locc_Adjacent Railroad,locc_Near Pos Feature,locc_Near Railroad,sc_Abnormal Sale,sc_Allocation,sc_Home not complete,sc_Sale within Family,gf_Finished,gf_Rough Finished,gf_Unfinished
1,2-STORY 1946 & NEWER,65.0,8450,Level,College Creek,Normal,7,5,2003,196.0,706,150,856,854,3,Good,8,0,Rough Finished,2,Normal Sale,208500,61,3,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2,1-STORY 1946 & NEWER,80.0,9600,Level,Veenker,Adjacent Feeder St,6,8,1976,0.0,978,284,1262,0,3,Average,6,1,Rough Finished,2,Normal Sale,181500,298,2,1,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
3,2-STORY 1946 & NEWER,68.0,11250,Level,College Creek,Normal,7,5,2001,162.0,486,434,920,866,3,Good,6,1,Rough Finished,2,Normal Sale,223500,42,3,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,2-STORY 1945 & OLDER,60.0,9550,Level,Crawford,Normal,7,5,1915,0.0,216,540,961,756,3,Good,7,1,Unfinished,3,"Abnormal Sale -  trade, foreclosure, short sale",140000,307,2,0,0,0,0.6666666666666666,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
5,2-STORY 1946 & NEWER,84.0,14260,Level,Northridge,Normal,8,5,2000,350.0,655,490,1145,1053,4,Good,9,1,Rough Finished,3,Normal Sale,250000,276,3,1,0,0,0.75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
6,1-1/2 STORY ALL AGES,85.0,14115,Level,Mitchell,Normal,5,5,1993,0.0,732,64,796,566,1,Average,5,0,Unfinished,2,Normal Sale,143000,390,2,1,0,0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,1-STORY 1946 & NEWER,75.0,10084,Level,Somerset,Normal,8,5,2004,186.0,1369,317,1694,0,3,Good,7,1,Rough Finished,2,Normal Sale,307000,312,3,0,0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,2-STORY 1946 & NEWER,0.0,10382,Level,Northwest Ames,Near Pos Feature,7,6,1973,240.0,859,216,1107,983,3,Average,7,2,Rough Finished,2,Normal Sale,200000,667,3,1,0,0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
9,1-1/2 STORY ALL AGES,51.0,6120,Level,Old Town,Adjacent Arterial St,7,5,1931,0.0,0,952,1022,752,2,Average,8,2,Unfinished,2,"Abnormal Sale -  trade, foreclosure, short sale",129900,295,2,0,0,1,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
10,2 FAMILY CONVERSION,50.0,7420,Level,Brookside,Adjacent Arterial St,5,6,1939,0.0,851,140,1077,0,2,Average,5,2,Rough Finished,1,Normal Sale,118000,4,2,0,0,1,1.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
11,1-STORY 1946 & NEWER,70.0,11200,Level,Sawyer,Normal,5,5,1965,0.0,906,134,1040,0,3,Average,5,0,Unfinished,1,Normal Sale,129500,0,2,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
